id,grupo,sigla,universidad,pais,url,fecha,axe_version,ok,https,cookies_total_pre,cookies_rastreo_pre,nombres_pre,nombres_rastreo,cmp,banner,title,lang,viewport,skip_link,ax_violaciones,ax_nodos,nodos_A,nodos_AA,nodos_AAA,perceptible,operable,comprensible,robusto,max_nivel_sin_fallo,incompletos,passes
43,ecuador,UPS,Universidad Politécnica Salesiana,EC,https://www.ups.edu.ec,2026-08-14T06:44:28.532Z,4.13.0,yes,yes,116,16,Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | Path | JSESSIONID | COOKIE_SUPPORT | GUEST_LANGUAGE_ID | Path | _gid | _gat | __Secure-YNID | YSC | VISITOR_INFO1_LIVE | VISITOR_PRIVACY_METADATA | __Secure-ROLLOUT_TOKEN | CLID | _gcl_au | LFR_SESSION_STATE_20102 | _clck | __cf_bm | _ttp | __cf_bm | __cf_bm | __cf_bm | __cf_bm | _ga_G3SXTJRVXE | _ga | _tt_enable_cookie | _ttp | _clsk | _fbp | ttcsid | ttcsid_D3BC0N3C77U8DNM9Q7J0 | __hstc | hubspotutk | __hssrc | __hssc | __cf_bm | __cf_bm | MUID | MR | SRM_B | IDE | SM | MUID | MR | ANONCHK,_gid | _gat | YSC | VISITOR_INFO1_LIVE | _gcl_au | _clck | _ttp | _ga_G3SXTJRVXE | _ga | _tt_enable_cookie | _ttp | _clsk | _fbp | MUID | IDE | MUID,,no,Universidad Politécnica Salesiana | UPS Ecuador - UPS,es-ES,yes,yes,4,10,10,0,0,5,2,0,3,ninguno,3,27
44,ecuador,UISEK,Universidad Internacional SEK,EC,https://uisek.edu.ec,2026-08-14T06:45:06.622Z,4.13.0,yes,yes,21,12,_ttp | _tt_enable_cookie | _ttp | _gid | _gat_UA-27018080-1 | _gat_gtag_UA_120295323_1 | _ga_XJR5CJJLR4 | _ga | li_sugr | bcookie | lidc | __cf_bm | UserMatchHistory | AnalyticsSyncHistory | _ga_ES4V2WR0X1 | _gcl_au | _fbp | test_cookie | bscookie | ttcsid | ttcsid_CITCNNJC77U9QO6OHPDG,_ttp | _tt_enable_cookie | _ttp | _gid | _gat_UA-27018080-1 | _gat_gtag_UA_120295323_1 | _ga_XJR5CJJLR4 | _ga | _ga_ES4V2WR0X1 | _gcl_au | _fbp | test_cookie,,no,UISEK - Ecuador,es,yes,no,5,28,18,10,0,11,11,0,6,ninguno,3,26
45,ecuador,UEES,Universidad de Especialidades Espíritu Santo,EC,https://uees.edu.ec,2026-08-14T06:45:18.688Z,4.13.0,yes,yes,39,19,__cf_bm | _cfuvid | elfsight_viewed_recently | YSC | VISITOR_INFO1_LIVE | VISITOR_PRIVACY_METADATA | _gcl_au | _ttp | CLID | _ga_RG4RVWE64Q | __Secure-YNID | __Secure-ROLLOUT_TOKEN | _twpid | _gid | _gat_UA-172180399-2 | _gat_UA-217409406-3 | personalization_id | __cf_bm | muc_ads | __cf_bm | IDE | _tt_enable_cookie | _ttp | _ga_T4TERSTX4G | _ga | _clck | _fbp | li_sugr | bcookie | lidc | __cf_bm | UserMatchHistory | AnalyticsSyncHistory | bscookie | _clsk | _ga_STV75W996F | _ga_KMEPWM9403 | ttcsid_CLPOE1BC77U6SG2AL6P0 | ttcsid,YSC | VISITOR_INFO1_LIVE | _gcl_au | _ttp | _ga_RG4RVWE64Q | _gid | _gat_UA-172180399-2 | _gat_UA-217409406-3 | personalization_id | IDE | _tt_enable_cookie | _ttp | _ga_T4TERSTX4G | _ga | _clck | _fbp | _clsk | _ga_STV75W996F | _ga_KMEPWM9403,,no,UEES - Universidad Espíritu Santo - Ecuador,es-EC,yes,no,4,30,6,8,16,25,5,0,0,ninguno,0,29
46,ecuador,USFQ,Universidad San Francisco de Quito,EC,https://www.usfq.edu.ec,2026-08-14T06:45:29.080Z,4.13.0,yes,yes,3,3,_ga_G80CBJM3N2 | _ga | _fbp,_ga_G80CBJM3N2 | _ga | _fbp,,no,Inicio | Universidad San Francisco de Quito - Ecuador,es,yes,yes,6,54,4,16,34,51,2,0,1,ninguno,4,29
47,ecuador,UDLA,Universidad de las Américas,EC,https://www.udla.edu.ec,2026-08-14T06:46:10.087Z,4.13.0,yes,yes,12,0,NEXT_LOCALE | session-cookie | cookiesession1 | rxVisitor | dtPC | dtSa | rxvt | dtCookie | cookiesession1 | __Host-next-auth.csrf-token | __Secure-next-auth.callback-url | ARRAffinitySameSite,,Cookiebot | IAB-TCF,yes,"UDLA | Educación Superior de calidad en Quito, Ecuador | UDLA",es,yes,no,6,53,14,7,32,40,6,0,7,ninguno,2,35
48,ecuador,UIDE,Universidad Internacional del Ecuador,EC,https://www.uide.edu.ec,2026-08-14T06:46:19.836Z,4.13.0,yes,yes,24,7,lp_session_guest | cookieyes-consent | CLID | li_sugr | bcookie | lidc | __cf_bm | _pin_unauth | tfpsi | UserMatchHistory | AnalyticsSyncHistory | _uetsid | _uetvid | bscookie | MUID | MR | _clck | _clsk | MR | SRM_B | SM | MUID | MR | ANONCHK,_pin_unauth | _uetsid | _uetvid | MUID | _clck | _clsk | MUID,CookieYes,yes,Universidad Internacional del Ecuador,es,yes,no,10,45,30,12,3,8,21,0,16,ninguno,4,36
49,ecuador,UNIANDES,Universidad Regional Autónoma de los Andes,EC,https://www.uniandes.edu.ec,2026-08-14T06:46:33.160Z,4.13.0,yes,yes,0,0,,,,no,Uniandes | Universidad Regional Autónoma de los Andes,es,yes,no,4,22,7,15,0,11,9,0,2,ninguno,4,29
50,ecuador,UPACÍFICO,Universidad del Pacífico Escuela de Negocios,EC,https://upacifico.edu.ec,2026-08-14T06:46:41.796Z,4.13.0,yes,yes,5,4,_gcl_au | ma_popup_visitor | _ga_4DXVYNQP5Y | _ga | test_cookie,_gcl_au | _ga_4DXVYNQP5Y | _ga | test_cookie,,no,UPACIFICO Ecuador. Formación Universitaria de calidad,es,yes,no,2,25,4,21,0,21,4,0,0,ninguno,4,29
51,ecuador,UTI,Universidad Tecnológica Indoamérica,EC,https://www.indoamerica.edu.ec,2026-08-14T06:46:50.775Z,4.13.0,yes,yes,27,19,_ttp | pys_session_limit | pys_start_session | pys_first_visit | pysTrafficSource | pys_landing_page | last_pysTrafficSource | last_pys_landing_page | _fbp | WMF-Uniq | _cs_c | _cs_id | _cs_s | _gcl_au | _ga_0G8LBGW2QF | _ga_TY4XSDKKNQ | _ga_WHTF7DF7Q5 | _ga | _gid | _gat_gtag_UA_245920016_1 | test_cookie | _tt_enable_cookie | _ttp | _hjSessionUser_3201143 | _hjSession_3201143 | ttcsid | ttcsid_CMJC33JC77UEKGPKFH10,_ttp | pys_session_limit | pys_start_session | pys_first_visit | pysTrafficSource | pys_landing_page | _fbp | _gcl_au | _ga_0G8LBGW2QF | _ga_TY4XSDKKNQ | _ga_WHTF7DF7Q5 | _ga | _gid | _gat_gtag_UA_245920016_1 | test_cookie | _tt_enable_cookie | _ttp | _hjSessionUser_3201143 | _hjSession_3201143,,no,"Universidad Indoamérica | Carreras, Posgrados e Innovación EducativaPostula a nuestras carreras de grado y programas de posgrado -",es,yes,no,5,20,9,10,1,8,12,0,0,ninguno,5,31
52,ecuador,Casa Grande,Universidad Casa Grande,EC,https://www.casagrande.edu.ec,2026-08-14T06:46:58.062Z,4.13.0,yes,yes,6,5,cf_clearance | _gcl_au | _ga_9X04C12TB4 | _ga | _fbp | test_cookie,_gcl_au | _ga_9X04C12TB4 | _ga | _fbp | test_cookie,,no,Inicio | Universidad Casa Grande,es,yes,yes,1,10,0,0,10,10,0,0,0,AA,2,30
