id,grupo,sigla,regla,impacto,criterio,principio,nivel,nodos,ayuda
62,mundo,KU Leuven,listitem,serious,1.3.1,Perceptible,A,1,<li> elements must be contained in a <ul> or <ol>
63,mundo,Queensland,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,12,Elements must meet enhanced color contrast ratio thresholds
63,mundo,Queensland,link-in-text-block,serious,1.4.1,Perceptible,A,1,Links must be distinguishable without relying on color
64,ecuador,EPN,color-contrast,serious,1.4.3,Perceptible,AA,2,Elements must meet minimum color contrast ratio thresholds
64,ecuador,EPN,document-title,serious,2.4.2,Operable,A,1,Documents must have <title> element to aid in navigation
64,ecuador,EPN,link-name,serious,2.4.4,Operable,A,1,Links must have discernible text
65,ecuador,ESPOL,color-contrast,serious,1.4.3,Perceptible,AA,57,Elements must meet minimum color contrast ratio thresholds
65,ecuador,ESPOL,target-size,serious,2.5.8,Operable,AA,10,"All touch targets must be 24px large, or leave sufficient space"
65,ecuador,ESPOL,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,7,Elements must meet enhanced color contrast ratio thresholds
65,ecuador,ESPOL,button-name,critical,4.1.2,Robusto,A,2,Buttons must have discernible text
66,ecuador,ESPOCH,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,50,Elements must meet enhanced color contrast ratio thresholds
66,ecuador,ESPOCH,link-name,serious,2.4.4,Operable,A,16,Links must have discernible text
66,ecuador,ESPOCH,color-contrast,serious,1.4.3,Perceptible,AA,4,Elements must meet minimum color contrast ratio thresholds
67,ecuador,ESPAM MFL,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,9,Elements must meet enhanced color contrast ratio thresholds
67,ecuador,ESPAM MFL,color-contrast,serious,1.4.3,Perceptible,AA,9,Elements must meet minimum color contrast ratio thresholds
67,ecuador,ESPAM MFL,link-name,serious,2.4.4,Operable,A,8,Links must have discernible text
67,ecuador,ESPAM MFL,button-name,critical,4.1.2,Robusto,A,3,Buttons must have discernible text
67,ecuador,ESPAM MFL,image-alt,critical,1.1.1,Perceptible,A,1,Images must have alternative text
67,ecuador,ESPAM MFL,link-in-text-block,serious,1.4.1,Perceptible,A,1,Links must be distinguishable without relying on color
67,ecuador,ESPAM MFL,list,serious,1.3.1,Perceptible,A,1,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements"
68,ecuador,ESPE,link-name,serious,2.4.4,Operable,A,9,Links must have discernible text
68,ecuador,ESPE,target-size,serious,2.5.8,Operable,AA,9,"All touch targets must be 24px large, or leave sufficient space"
68,ecuador,ESPE,aria-command-name,serious,4.1.2,Robusto,A,2,ARIA commands must have an accessible name
69,ecuador,UCE,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,65,Elements must meet enhanced color contrast ratio thresholds
69,ecuador,UCE,color-contrast,serious,1.4.3,Perceptible,AA,15,Elements must meet minimum color contrast ratio thresholds
69,ecuador,UCE,link-name,serious,2.4.4,Operable,A,15,Links must have discernible text
69,ecuador,UCE,scrollable-region-focusable,serious,2.1.1,Operable,A,2,Scrollable region must have keyboard access
70,ecuador,UCuenca,link-name,serious,2.4.4,Operable,A,39,Links must have discernible text
70,ecuador,UCuenca,button-name,critical,4.1.2,Robusto,A,9,Buttons must have discernible text
70,ecuador,UCuenca,aria-allowed-attr,critical,4.1.2,Robusto,A,8,Elements must only use supported ARIA attributes
70,ecuador,UCuenca,color-contrast,serious,1.4.3,Perceptible,AA,4,Elements must meet minimum color contrast ratio thresholds
70,ecuador,UCuenca,image-alt,critical,1.1.1,Perceptible,A,1,Images must have alternative text
71,ecuador,UG,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,22,Elements must meet enhanced color contrast ratio thresholds
72,ecuador,UNL,link-name,serious,2.4.4,Operable,A,108,Links must have discernible text
72,ecuador,UNL,image-alt,critical,1.1.1,Perceptible,A,7,Images must have alternative text
72,ecuador,UNL,color-contrast,serious,1.4.3,Perceptible,AA,6,Elements must meet minimum color contrast ratio thresholds
72,ecuador,UNL,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,1,Elements must meet enhanced color contrast ratio thresholds
73,ecuador,UAE,color-contrast,serious,1.4.3,Perceptible,AA,15,Elements must meet minimum color contrast ratio thresholds
73,ecuador,UAE,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,13,Elements must meet enhanced color contrast ratio thresholds
73,ecuador,UAE,nested-interactive,serious,4.1.2,Robusto,A,4,Interactive controls must not be nested
73,ecuador,UAE,button-name,critical,4.1.2,Robusto,A,1,Buttons must have discernible text
73,ecuador,UAE,frame-title,serious,4.1.2,Robusto,A,1,Frames must have an accessible name
74,ecuador,UTA,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,7,Elements must meet enhanced color contrast ratio thresholds
74,ecuador,UTA,aria-allowed-attr,critical,4.1.2,Robusto,A,6,Elements must only use supported ARIA attributes
74,ecuador,UTA,color-contrast,serious,1.4.3,Perceptible,AA,2,Elements must meet minimum color contrast ratio thresholds
75,ecuador,UTB,link-name,serious,2.4.4,Operable,A,17,Links must have discernible text
75,ecuador,UTB,color-contrast,serious,1.4.3,Perceptible,AA,5,Elements must meet minimum color contrast ratio thresholds
75,ecuador,UTB,target-size,serious,2.5.8,Operable,AA,4,"All touch targets must be 24px large, or leave sufficient space"
75,ecuador,UTB,frame-title,serious,4.1.2,Robusto,A,3,Frames must have an accessible name
75,ecuador,UTB,aria-input-field-name,serious,4.1.2,Robusto,A,1,ARIA input fields must have an accessible name
75,ecuador,UTB,aria-required-children,critical,1.3.1,Perceptible,A,1,Certain ARIA roles must contain particular children
75,ecuador,UTB,button-name,critical,4.1.2,Robusto,A,1,Buttons must have discernible text
76,ecuador,UTC,link-name,serious,2.4.4,Operable,A,19,Links must have discernible text
