grupo,\#,Abbr.,C,QS,THE,ARWU,Not.,Frm.,Rts.,DPO,Ckp.,Acc.,Type,Notice,LOPDP,Rights,Transp.,nueva_2024
ecuador,42,UDA,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no,no_aplica,no,C,no,no,no,si,no
ecuador,43,UPS,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no,no_aplica,no,C,si,si,si,si,no
ecuador,44,UISEK,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no,no_aplica,no,A,si,no,si,no,no
ecuador,45,UEES,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,si,no_aplica,no,A,si,si,si,no,no
ecuador,46,USFQ,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,si,no_aplica,no,A,si,si,si,no,no
ecuador,47,UDLA,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,si,no_aplica,no,A,si,si,si,no,no
ecuador,48,UIDE,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,si,no_aplica,no,A,si,si,si,si,no
ecuador,49,UNIANDES,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no,no_aplica,no,A,si,no,si,no,no
ecuador,50,UPACIFICO,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no,no_aplica,no,A,nv,no,no,no,no
ecuador,51,UTI,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no,no_aplica,no,A,si,no,si,si,no
ecuador,52,Casa Grande,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,si,no_aplica,no,A,si,si,si,no,no
ecuador,53,UTEG,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,si,no_aplica,no,A,si,si,si,si,no
ecuador,54,UISRAEL,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,nv,no_aplica,nv,A,si,nv,nv,nv,no
ecuador,55,UDET,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no,no_aplica,no,A,no,no,no,no,no
ecuador,56,UMET,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,nv,no_aplica,no,A,si,nv,nv,si,no
ecuador,57,U. Otavalo,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no,no_aplica,no,A,nv,nv,no,nv,no
ecuador,58,USGP,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,si,no_aplica,no,A,si,si,si,si,no
ecuador,59,U. Hemisferios,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,si,no_aplica,no,A,si,si,si,si,no
ecuador,60,UNIB.E,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no,no_aplica,no,A,si,no,si,no,no
ecuador,61,ECOTEC,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,si,no_aplica,no,A,si,si,si,si,no
ecuador,62,UDR,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no,no_aplica,no,A,no,no,no,no,no
ecuador,63,UBE,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,si,no_aplica,si,A,si,si,si,no,no
