id,grupo,sigla,regla,impacto,criterio,principio,nivel,nodos,ayuda
34,ecuador,UASB,select-name,critical,4.1.2,Robusto,A,4,Select element must have an accessible name
34,ecuador,UASB,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,3,Elements must meet enhanced color contrast ratio thresholds
34,ecuador,UASB,scrollable-region-focusable,serious,2.1.1,Operable,A,1,Scrollable region must have keyboard access
35,ecuador,FLACSO,link-name,serious,2.4.4,Operable,A,20,Links must have discernible text
35,ecuador,FLACSO,color-contrast,serious,1.4.3,Perceptible,AA,17,Elements must meet minimum color contrast ratio thresholds
35,ecuador,FLACSO,image-alt,critical,1.1.1,Perceptible,A,1,Images must have alternative text
36,ecuador,PUCE,link-name,serious,2.4.4,Operable,A,12,Links must have discernible text
36,ecuador,PUCE,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,7,Elements must meet enhanced color contrast ratio thresholds
36,ecuador,PUCE,color-contrast,serious,1.4.3,Perceptible,AA,7,Elements must meet minimum color contrast ratio thresholds
36,ecuador,PUCE,target-size,serious,2.5.8,Operable,AA,4,"All touch targets must be 24px large, or leave sufficient space"
36,ecuador,PUCE,meta-viewport,moderate,1.4.4,Perceptible,AA,1,Zooming and scaling must not be disabled
37,ecuador,UCSG,link-name,serious,2.4.4,Operable,A,6,Links must have discernible text
37,ecuador,UCSG,target-size,serious,2.5.8,Operable,AA,2,"All touch targets must be 24px large, or leave sufficient space"
37,ecuador,UCSG,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,1,Elements must meet enhanced color contrast ratio thresholds
37,ecuador,UCSG,image-alt,critical,1.1.1,Perceptible,A,1,Images must have alternative text
38,ecuador,UCACUE,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,17,Elements must meet enhanced color contrast ratio thresholds
38,ecuador,UCACUE,nested-interactive,serious,4.1.2,Robusto,A,9,Interactive controls must not be nested
38,ecuador,UCACUE,link-name,serious,2.4.4,Operable,A,5,Links must have discernible text
38,ecuador,UCACUE,target-size,serious,2.5.8,Operable,AA,5,"All touch targets must be 24px large, or leave sufficient space"
38,ecuador,UCACUE,aria-tab-name,serious,4.1.2,Robusto,A,1,ARIA tab nodes must have an accessible name
38,ecuador,UCACUE,aria-valid-attr-value,critical,4.1.2,Robusto,A,1,ARIA attributes must conform to valid values
39,ecuador,ULVR,link-name,serious,2.4.4,Operable,A,11,Links must have discernible text
39,ecuador,ULVR,color-contrast,serious,1.4.3,Perceptible,AA,2,Elements must meet minimum color contrast ratio thresholds
40,ecuador,UTPL,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,25,Elements must meet enhanced color contrast ratio thresholds
40,ecuador,UTPL,image-alt,critical,1.1.1,Perceptible,A,5,Images must have alternative text
40,ecuador,UTPL,link-name,serious,2.4.4,Operable,A,2,Links must have discernible text
40,ecuador,UTPL,button-name,critical,4.1.2,Robusto,A,1,Buttons must have discernible text
40,ecuador,UTPL,label,critical,4.1.2,Robusto,A,1,Form elements must have labels
40,ecuador,UTPL,target-size,serious,2.5.8,Operable,AA,1,"All touch targets must be 24px large, or leave sufficient space"
41,ecuador,UTE,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,15,Elements must meet enhanced color contrast ratio thresholds
