grupo,abbr,indicador,columna_apendice,valor,corregida_reverificacion
mundo,Illinois,derechos,Rts.,si,no
mundo,Illinois,contacto_dpo,DPO,si,no
mundo,Illinois,politica_cookies,Ckp.,no,no
mundo,Illinois,declaracion_accesibilidad,Acc.,si,no
mundo,UT Austin,aviso_privacidad,Not.,si,no
mundo,UT Austin,marco_normativo,Frm.,si,no
mundo,UT Austin,derechos,Rts.,si,no
mundo,UT Austin,contacto_dpo,DPO,si,no
mundo,UT Austin,politica_cookies,Ckp.,no,no
mundo,UT Austin,declaracion_accesibilidad,Acc.,si,no
mundo,UW,aviso_privacidad,Not.,si,no
mundo,UW,marco_normativo,Frm.,si,no
mundo,UW,derechos,Rts.,si,no
mundo,UW,contacto_dpo,DPO,si,no
mundo,UW,politica_cookies,Ckp.,no,no
mundo,UW,declaracion_accesibilidad,Acc.,si,no
mundo,NTU,aviso_privacidad,Not.,si,no
mundo,NTU,marco_normativo,Frm.,si,no
mundo,NTU,derechos,Rts.,si,no
mundo,NTU,contacto_dpo,DPO,si,no
mundo,NTU,politica_cookies,Ckp.,no,no
mundo,NTU,declaracion_accesibilidad,Acc.,no,no
mundo,McGill,aviso_privacidad,Not.,si,no
mundo,McGill,marco_normativo,Frm.,si,no
mundo,McGill,derechos,Rts.,si,no
mundo,McGill,contacto_dpo,DPO,si,no
mundo,McGill,politica_cookies,Ckp.,si,no
mundo,McGill,declaracion_accesibilidad,Acc.,si,no
mundo,CUHK,aviso_privacidad,Not.,si,no
mundo,CUHK,marco_normativo,Frm.,si,no
mundo,CUHK,derechos,Rts.,si,no
mundo,CUHK,contacto_dpo,DPO,no,no
mundo,CUHK,politica_cookies,Ckp.,no,no
mundo,CUHK,declaracion_accesibilidad,Acc.,si,no
mundo,CMU,aviso_privacidad,Not.,si,no
mundo,CMU,marco_normativo,Frm.,si,no
mundo,CMU,derechos,Rts.,si,no
mundo,CMU,contacto_dpo,DPO,si,no
mundo,CMU,politica_cookies,Ckp.,no,no
mundo,CMU,declaracion_accesibilidad,Acc.,si,no
mundo,Wisconsin,aviso_privacidad,Not.,si,no
mundo,Wisconsin,marco_normativo,Frm.,si,no
mundo,Wisconsin,derechos,Rts.,no,no
mundo,Wisconsin,contacto_dpo,DPO,si,no
mundo,Wisconsin,politica_cookies,Ckp.,si,no
mundo,Wisconsin,declaracion_accesibilidad,Acc.,si,no
mundo,USTC,aviso_privacidad,Not.,parcial,no
mundo,USTC,marco_normativo,Frm.,si,no
mundo,USTC,derechos,Rts.,si,no
mundo,USTC,contacto_dpo,DPO,si,no
mundo,USTC,politica_cookies,Ckp.,no,no
mundo,USTC,declaracion_accesibilidad,Acc.,no,no
mundo,WUSTL,aviso_privacidad,Not.,si,no
mundo,WUSTL,marco_normativo,Frm.,no,no
mundo,WUSTL,derechos,Rts.,no,no
mundo,WUSTL,contacto_dpo,DPO,si,no
mundo,WUSTL,politica_cookies,Ckp.,no,no
mundo,WUSTL,declaracion_accesibilidad,Acc.,si,no
mundo,Monash,aviso_privacidad,Not.,si,no
mundo,Monash,marco_normativo,Frm.,si,no
mundo,Monash,derechos,Rts.,no,no
mundo,Monash,contacto_dpo,DPO,no,no
mundo,Monash,politica_cookies,Ckp.,no,no
mundo,Monash,declaracion_accesibilidad,Acc.,si,no
mundo,SNU,aviso_privacidad,Not.,si,no
mundo,SNU,marco_normativo,Frm.,si,no
mundo,SNU,derechos,Rts.,si,no
mundo,SNU,contacto_dpo,DPO,si,no
mundo,SNU,politica_cookies,Ckp.,no,no
mundo,SNU,declaracion_accesibilidad,Acc.,no,no
mundo,Heidelberg,aviso_privacidad,Not.,si,no
mundo,Heidelberg,marco_normativo,Frm.,si,no
mundo,Heidelberg,derechos,Rts.,si,no
mundo,Heidelberg,contacto_dpo,DPO,si,no
mundo,Heidelberg,politica_cookies,Ckp.,no,no
mundo,Heidelberg,declaracion_accesibilidad,Acc.,si,no
mundo,HKUST,aviso_privacidad,Not.,si,no
mundo,HKUST,marco_normativo,Frm.,si,no
mundo,HKUST,derechos,Rts.,si,no
mundo,HKUST,contacto_dpo,DPO,si,no
mundo,HKUST,politica_cookies,Ckp.,no,no
mundo,HKUST,declaracion_accesibilidad,Acc.,si,no
mundo,Karolinska,aviso_privacidad,Not.,si,no
mundo,Karolinska,marco_normativo,Frm.,parcial,no
mundo,Karolinska,derechos,Rts.,si,no
mundo,Karolinska,contacto_dpo,DPO,si,no
mundo,Karolinska,politica_cookies,Ckp.,si,no
