fecha_hora	codigo	hoja	bloque	sitio	regla	resultado
2026-09-11T05:43:24	R04	111	106	UNESUM	qt1vmo	cumple
2026-09-11T05:45:14	R04	111	107	UC Berkeley	qt1vmo	cumple
2026-09-11T05:45:24	R04	111	108	UC Berkeley	qt1vmo	cumple
2026-09-11T05:45:38	R04	111	109	UC Berkeley	qt1vmo	cumple
2026-09-11T05:46:11	R04	111	110	UC Berkeley	qt1vmo	cumple
2026-09-11T05:46:26	R04	111	111	UC Berkeley	qt1vmo	cumple
2026-09-11T05:46:48	R04	111	112	UC Berkeley	qt1vmo	cumple
2026-09-11T05:47:05	R04	111	113	UC Berkeley	qt1vmo	cumple
2026-09-11T05:47:17	R04	111	114	UC Berkeley	qt1vmo	cumple
2026-09-11T05:58:32	R04	111	115	Cornell	qt1vmo	cumple
2026-09-11T05:59:58	R04	111	116	Cornell	qt1vmo	cumple
2026-09-11T06:00:22	R04	111	117	Cornell	qt1vmo	cumple
2026-09-11T06:00:37	R04	111	118	Cornell	qt1vmo	cumple
2026-09-11T06:00:48	R04	111	119	Cornell	qt1vmo	cumple
2026-09-11T06:01:29	R04	111	120	Cornell	qt1vmo	cumple
2026-09-11T06:02:47	R04	111	121	Cornell	qt1vmo	cumple
2026-09-11T06:02:57	R04	111	122	UTI	qt1vmo	cumple
2026-09-11T06:03:53	R04	111	123	UTI	qt1vmo	falla
2026-09-11T06:04:59	R04	111	124	UTI	qt1vmo	falla
2026-09-11T06:05:26	R04	111	125	UTI	qt1vmo	cumple
2026-09-11T06:05:48	R04	111	126	UTI	qt1vmo	cumple
2026-09-11T06:06:13	R04	111	127	UTI	qt1vmo	cumple
2026-09-11T06:07:28	R04	111	128	Northwestern	qt1vmo	falla
2026-09-11T06:08:16	R04	111	129	Northwestern	qt1vmo	cumple
2026-09-11T06:09:51	R04	111	130	Northwestern	qt1vmo	falla
2026-09-11T06:10:24	R04	111	131	Northwestern	qt1vmo	cumple
2026-09-11T06:11:08	R04	111	132	Northwestern	qt1vmo	cumple
2026-09-11T06:11:46	R04	111	133	Northwestern	qt1vmo	cumple
2026-09-11T06:12:26	R04	111	134	Northwestern	qt1vmo	cumple
2026-09-11T06:12:51	R04	111	135	Northwestern	qt1vmo	cumple
2026-09-11T06:13:00	R04	111	136	Northwestern	qt1vmo	cumple
2026-09-11T06:13:09	R04	111	137	Northwestern	qt1vmo	cumple
2026-09-11T06:13:26	R04	111	138	Northwestern	qt1vmo	cumple
2026-09-11T06:13:40	R04	111	139	Northwestern	qt1vmo	cumple
2026-09-11T06:13:48	R04	111	140	Northwestern	qt1vmo	cumple
2026-09-11T06:13:56	R04	111	141	Northwestern	qt1vmo	cumple
2026-09-11T06:14:03	R04	111	142	Northwestern	qt1vmo	cumple
2026-09-11T06:14:15	R04	111	143	Northwestern	qt1vmo	cumple
2026-09-11T06:14:55	R04	111	144	Northwestern	qt1vmo	falla
2026-09-11T06:15:07	R04	111	145	Northwestern	qt1vmo	cumple
2026-09-11T06:16:19	R04	111	146	Northwestern	qt1vmo	cumple
2026-09-11T06:16:30	R04	111	147	Northwestern	qt1vmo	cumple
2026-09-11T06:16:43	R04	111	148	Northwestern	qt1vmo	cumple
2026-09-11T06:16:58	R04	111	149	Northwestern	qt1vmo	cumple
2026-09-11T06:17:09	R04	111	150	Northwestern	qt1vmo	cumple
2026-09-11T06:17:19	R04	111	151	Northwestern	qt1vmo	cumple
2026-09-11T06:17:38	R04	111	152	Northwestern	qt1vmo	cumple
2026-09-11T06:17:48	R04	111	153	Northwestern	qt1vmo	cumple
2026-09-11T06:17:55	R04	111	154	Northwestern	qt1vmo	cumple
2026-09-11T06:18:06	R04	111	155	Northwestern	qt1vmo	cumple
2026-09-11T06:18:21	R04	111	156	Northwestern	qt1vmo	cumple
2026-09-11T06:18:27	R04	111	157	Northwestern	qt1vmo	cumple
2026-09-11T06:18:47	R04	111	158	UPS	qt1vmo	cumple
2026-09-11T06:27:04	R04	111	159	UPS	qt1vmo	cumple
