id,vantage,run,red,grupo,sigla,pais,url,ok,error,title,lang,viewport,https,cookies_pre,rastreo_pre,rastreo_pre_ext,nombres_rastreo_ext,cmp,banner,consent_default,consent_default_region,regiones,uet_consent,clarity_consent,ax_violaciones,ax_nodos,elementos,nodos_totales,nodos_por_mil_elementos,nivelA_nodos,nivelAA_nodos,nivelAAA_nodos,Perceptible,Operable,Comprensible,Robusto,max_nivel_sin_fallo_auto,incompletos,incompletos_nodos,n_dominios_terceros,prov_emitida_sin_cookie,prov_no_emitida,servidor,cdn,cms,fecha
54,EU,3,centro_datos,mundo,WUSTL,US,https://washu.edu,true,,Home | WashU,en-US,1,1,14,12,12,_ga_T94ZQ4ENLH _ga utag_main__sn utag_main__se utag_main__ss utag_main__st utag_main_ses_id utag_main__pn utag_main_v_id utag_main_dc_visit utag_main_dc_event utag_main_dc_region,,0,0,0,,0,0,3,25,1166,2419,21.44,5,0,20,20,4,0,1,ninguno,5,24,15,Google Tag Manager Google Analytics,,nginx,Fastly/Varnish,generator: Site Kit by Google 1.185.0 WordPress,2026-08-16T06:42:14.763Z
55,EU,3,centro_datos,mundo,Monash,AU,https://www.monash.edu,true,,Just a moment...,en-US,1,1,2,0,0,,,0,0,0,,0,0,1,1,46,61,21.74,1,0,0,0,1,0,0,ninguno,0,0,2,,,cloudflare,Cloudflare,,2026-08-16T06:42:22.778Z
56,EU,3,centro_datos,mundo,SNU,KR,https://en.snu.ac.kr,true,,Seoul National University,en,1,1,2,2,2,_ga_PVQ4G3Z4TR _ga,,0,0,0,,0,0,3,22,901,2433,24.42,0,14,8,22,0,0,0,A,3,35,1,Google Tag Manager,,,,,2026-08-16T06:42:31.116Z
57,EU,3,centro_datos,mundo,Heidelberg,DE,https://www.uni-heidelberg.de/en,true,,Heidelberg University,en,1,1,2,0,0,,,0,0,0,,0,0,2,68,1330,1581,51.13,1,0,67,67,0,0,1,ninguno,2,20,2,,,nginx,Fastly/Varnish,Drupal,2026-08-16T06:42:39.065Z
58,EU,3,centro_datos,mundo,HKUST,HK,https://hkust.edu.hk/,true,,The Hong Kong University of Science and Technology ｜World's Top 50 Universities｜Leading Research Excellence,en,1,1,0,0,0,,,0,0,0,,0,0,6,20,1559,4163,12.83,14,6,0,13,5,0,2,ninguno,4,128,5,Google Tag Manager Google Analytics,,nginx,,generator: Drupal 10 (https://www.drupal.org) Drupal,2026-08-16T06:42:48.422Z
59,EU,3,centro_datos,mundo,Karolinska,SE,https://ki.se/en,true,,Karolinska Institutet - a medical university,en,1,1,2,0,0,,,0,0,0,,0,0,5,7,633,1168,11.06,4,2,1,2,2,0,3,ninguno,2,25,4,Google Tag Manager Google Analytics,,,,generator: Drupal 10 (https://www.drupal.org) Drupal,2026-08-16T06:42:58.235Z
60,EU,3,centro_datos,mundo,TU Delft,NL,https://www.tudelft.nl/en/,true,,Delft University of Technology | TU Delft | Challenge. Change. Impact!,en,1,1,1,0,0,,Cookiebot,1,0,0,,0,0,3,23,3731,7005,6.16,0,22,1,18,5,0,0,A,2,36,8,Siteimprove,,,CloudFront,generator: TYPO3 CMS TYPO3,2026-08-16T06:43:06.649Z
61,EU,3,centro_datos,mundo,ANU,AU,https://www.anu.edu.au/,true,,The Australian National University,en,1,1,6,3,4,_ga_E1GV4NJHV2 _ga _fbp _twpid,OneTrust,1,0,0,,0,0,1,1,1083,1415,0.92,0,0,1,1,0,0,0,AA,4,53,19,Google Tag Manager Meta Google Ads Google Analytics,,nginx,,Drupal,2026-08-16T06:43:17.068Z
62,EU,3,centro_datos,mundo,KU Leuven,BE,https://www.kuleuven.be/english/,true,,KU Leuven,en,1,1,6,0,0,,OneTrust,1,1,0,,0,0,3,5,560,1257,8.93,1,3,1,5,0,0,0,ninguno,2,13,8,Google Tag Manager Google Ads Google Analytics,,Apache/2.4.62,,,2026-08-16T06:43:25.639Z
63,EU,3,centro_datos,mundo,Queensland,AU,https://www.uq.edu.au/,true,,The University of Queensland,en,1,1,11,6,9,_gcl_au bcookie li_gc lidc _ga_QG0JXDMRML _ga _fbp _hjSessionUser_2849117 _hjSession_2849117,,0,0,0,,0,0,2,13,997,2355,13.04,1,0,12,13,0,0,0,ninguno,2,15,23,Google Ads Google Tag Manager Microsoft Ads/UET Microsoft Clarity Hotjar Meta Google Analytics,,nginx,Fastly/Varnish,generator: Drupal 11 (https://www.drupal.org) Drupal SharePoint,2026-08-16T06:43:37.489Z
